org_id, dup_id
rec-86356-org, rec-86356-dup-0
rec-27834-org, rec-27834-dup-0
rec-75562-org, rec-75562-dup-0
rec-75428-org, rec-75428-dup-0
rec-1277-org, rec-1277-dup-0
rec-20320-org, rec-20320-dup-0
rec-61862-org, rec-61862-dup-0
rec-74192-org, rec-74192-dup-0
rec-57095-org, rec-57095-dup-0
rec-39289-org, rec-39289-dup-0
rec-58242-org, rec-58242-dup-0
rec-15309-org, rec-15309-dup-0
rec-11311-org, rec-11311-dup-0
rec-17664-org, rec-17664-dup-0
rec-30483-org, rec-30483-dup-0
rec-72158-org, rec-72158-dup-0
rec-18404-org, rec-18404-dup-0
rec-26209-org, rec-26209-dup-0
rec-44657-org, rec-44657-dup-0
rec-56468-org, rec-56468-dup-0
rec-48871-org, rec-48871-dup-0
rec-86844-org, rec-86844-dup-0
rec-51874-org, rec-51874-dup-0
rec-62745-org, rec-62745-dup-0
rec-55072-org, rec-55072-dup-0
rec-56503-org, rec-56503-dup-0
rec-88783-org, rec-88783-dup-0
rec-9752-org, rec-9752-dup-0
rec-40293-org, rec-40293-dup-0
rec-25575-org, rec-25575-dup-0
rec-53738-org, rec-53738-dup-0
rec-51915-org, rec-51915-dup-0
rec-85494-org, rec-85494-dup-0
rec-22407-org, rec-22407-dup-0
rec-63524-org, rec-63524-dup-0
rec-19984-org, rec-19984-dup-0
rec-36111-org, rec-36111-dup-0
rec-37129-org, rec-37129-dup-0
rec-17618-org, rec-17618-dup-0
rec-22775-org, rec-22775-dup-0
rec-74809-org, rec-74809-dup-0
rec-70711-org, rec-70711-dup-0
rec-88409-org, rec-88409-dup-0
rec-82463-org, rec-82463-dup-0
rec-39915-org, rec-39915-dup-0
rec-51503-org, rec-51503-dup-0
rec-28322-org, rec-28322-dup-0
rec-72862-org, rec-72862-dup-0
rec-74119-org, rec-74119-dup-0
rec-28617-org, rec-28617-dup-0
rec-65841-org, rec-65841-dup-0
rec-19527-org, rec-19527-dup-0
rec-82685-org, rec-82685-dup-0
rec-78894-org, rec-78894-dup-0
rec-29739-org, rec-29739-dup-0
rec-54301-org, rec-54301-dup-0
rec-16257-org, rec-16257-dup-0
rec-26637-org, rec-26637-dup-0
rec-34621-org, rec-34621-dup-0
rec-12036-org, rec-12036-dup-0
rec-31960-org, rec-31960-dup-0
rec-39020-org, rec-39020-dup-0
rec-73908-org, rec-73908-dup-0
rec-52800-org, rec-52800-dup-0
rec-27733-org, rec-27733-dup-0
rec-16293-org, rec-16293-dup-0
rec-53627-org, rec-53627-dup-0
rec-63720-org, rec-63720-dup-0
rec-34635-org, rec-34635-dup-0
rec-63563-org, rec-63563-dup-0
rec-52218-org, rec-52218-dup-0
rec-46466-org, rec-46466-dup-0
rec-6339-org, rec-6339-dup-0
rec-46658-org, rec-46658-dup-0
rec-48208-org, rec-48208-dup-0
rec-80416-org, rec-80416-dup-0
rec-23567-org, rec-23567-dup-0
rec-10299-org, rec-10299-dup-0
rec-35968-org, rec-35968-dup-0
rec-86860-org, rec-86860-dup-0
rec-6731-org, rec-6731-dup-0
rec-22628-org, rec-22628-dup-0
rec-20145-org, rec-20145-dup-0
rec-81881-org, rec-81881-dup-0
rec-23025-org, rec-23025-dup-0
rec-48348-org, rec-48348-dup-0
rec-2056-org, rec-2056-dup-0
rec-31230-org, rec-31230-dup-0
rec-53455-org, rec-53455-dup-0
rec-28672-org, rec-28672-dup-0
rec-20439-org, rec-20439-dup-0
rec-13198-org, rec-13198-dup-0
rec-20214-org, rec-20214-dup-0
rec-30939-org, rec-30939-dup-0
rec-450-org, rec-450-dup-0
rec-41890-org, rec-41890-dup-0
rec-14910-org, rec-14910-dup-0
rec-29524-org, rec-29524-dup-0
rec-14849-org, rec-14849-dup-0
rec-46830-org, rec-46830-dup-0
rec-77975-org, rec-77975-dup-0
rec-64004-org, rec-64004-dup-0
rec-84707-org, rec-84707-dup-0
rec-19540-org, rec-19540-dup-0
rec-34493-org, rec-34493-dup-0
rec-21456-org, rec-21456-dup-0
rec-58761-org, rec-58761-dup-0
rec-20307-org, rec-20307-dup-0
rec-9177-org, rec-9177-dup-0
rec-26150-org, rec-26150-dup-0
rec-46842-org, rec-46842-dup-0
rec-40261-org, rec-40261-dup-0
rec-51889-org, rec-51889-dup-0
rec-53592-org, rec-53592-dup-0
rec-28817-org, rec-28817-dup-0
rec-59754-org, rec-59754-dup-0
rec-75102-org, rec-75102-dup-0
rec-36461-org, rec-36461-dup-0
rec-8815-org, rec-8815-dup-0
rec-11374-org, rec-11374-dup-0
rec-76666-org, rec-76666-dup-0
rec-74415-org, rec-74415-dup-0
rec-46331-org, rec-46331-dup-0
rec-84767-org, rec-84767-dup-0
rec-78840-org, rec-78840-dup-0
rec-15084-org, rec-15084-dup-0
rec-43963-org, rec-43963-dup-0
rec-68693-org, rec-68693-dup-0
rec-61412-org, rec-61412-dup-0
rec-4504-org, rec-4504-dup-0
rec-53680-org, rec-53680-dup-0
rec-38679-org, rec-38679-dup-0
rec-85061-org, rec-85061-dup-0
rec-5120-org, rec-5120-dup-0
rec-45374-org, rec-45374-dup-0
rec-81417-org, rec-81417-dup-0
