org_id, dup_id
rec-151-org, rec-151-dup-0
rec-3508-org, rec-3508-dup-0
rec-2615-org, rec-2615-dup-0
rec-2415-org, rec-2415-dup-0
rec-916-org, rec-916-dup-0
rec-3146-org, rec-3146-dup-0
rec-307-org, rec-307-dup-0
rec-2046-org, rec-2046-dup-0
rec-2191-org, rec-2191-dup-0
rec-1931-org, rec-1931-dup-0
rec-3982-org, rec-3982-dup-0
rec-2179-org, rec-2179-dup-0
rec-2833-org, rec-2833-dup-0
rec-3768-org, rec-3768-dup-0
rec-1248-org, rec-1248-dup-0
rec-3374-org, rec-3374-dup-0
rec-1468-org, rec-1468-dup-0
rec-1863-org, rec-1863-dup-0
rec-1130-org, rec-1130-dup-0
rec-2281-org, rec-2281-dup-0
rec-1336-org, rec-1336-dup-0
rec-2269-org, rec-2269-dup-0
rec-3695-org, rec-3695-dup-0
rec-1521-org, rec-1521-dup-0
rec-1718-org, rec-1718-dup-0
rec-3857-org, rec-3857-dup-0
rec-3343-org, rec-3343-dup-0
rec-760-org, rec-760-dup-0
rec-276-org, rec-276-dup-0
rec-709-org, rec-709-dup-0
rec-1434-org, rec-1434-dup-0
rec-2730-org, rec-2730-dup-0
rec-232-org, rec-232-dup-0
rec-752-org, rec-752-dup-0
rec-3092-org, rec-3092-dup-0
rec-3589-org, rec-3589-dup-0
rec-1320-org, rec-1320-dup-0
rec-2391-org, rec-2391-dup-0
rec-3745-org, rec-3745-dup-0
rec-915-org, rec-915-dup-0
rec-2207-org, rec-2207-dup-0
rec-3676-org, rec-3676-dup-0
rec-3493-org, rec-3493-dup-0
rec-1597-org, rec-1597-dup-0
rec-3262-org, rec-3262-dup-0
rec-190-org, rec-190-dup-0
rec-2218-org, rec-2218-dup-0
rec-898-org, rec-898-dup-0
rec-1726-org, rec-1726-dup-0
rec-3712-org, rec-3712-dup-0
rec-1184-org, rec-1184-dup-0
rec-2539-org, rec-2539-dup-0
rec-2771-org, rec-2771-dup-0
rec-193-org, rec-193-dup-0
rec-997-org, rec-997-dup-0
rec-63-org, rec-63-dup-0
rec-10-org, rec-10-dup-0
rec-722-org, rec-722-dup-0
rec-1448-org, rec-1448-dup-0
rec-533-org, rec-533-dup-0
rec-3765-org, rec-3765-dup-0
rec-35-org, rec-35-dup-0
rec-2837-org, rec-2837-dup-0
rec-1780-org, rec-1780-dup-0
rec-120-org, rec-120-dup-0
rec-1323-org, rec-1323-dup-0
rec-12-org, rec-12-dup-0
rec-2608-org, rec-2608-dup-0
rec-1753-org, rec-1753-dup-0
rec-981-org, rec-981-dup-0
rec-935-org, rec-935-dup-0
rec-2949-org, rec-2949-dup-0
rec-1538-org, rec-1538-dup-0
rec-3777-org, rec-3777-dup-0
rec-156-org, rec-156-dup-0
rec-3692-org, rec-3692-dup-0
rec-3666-org, rec-3666-dup-0
rec-817-org, rec-817-dup-0
rec-2832-org, rec-2832-dup-0
rec-1559-org, rec-1559-dup-0
rec-912-org, rec-912-dup-0
rec-1670-org, rec-1670-dup-0
rec-2887-org, rec-2887-dup-0
rec-677-org, rec-677-dup-0
rec-1628-org, rec-1628-dup-0
rec-1894-org, rec-1894-dup-0
rec-119-org, rec-119-dup-0
rec-1016-org, rec-1016-dup-0
rec-300-org, rec-300-dup-0
rec-3488-org, rec-3488-dup-0
rec-2097-org, rec-2097-dup-0
rec-1241-org, rec-1241-dup-0
rec-1443-org, rec-1443-dup-0
rec-1473-org, rec-1473-dup-0
rec-1776-org, rec-1776-dup-0
rec-2973-org, rec-2973-dup-0
rec-2251-org, rec-2251-dup-0
rec-1695-org, rec-1695-dup-0
rec-1877-org, rec-1877-dup-0
rec-2726-org, rec-2726-dup-0
rec-3702-org, rec-3702-dup-0
rec-3968-org, rec-3968-dup-0
rec-3637-org, rec-3637-dup-0
rec-3784-org, rec-3784-dup-0
rec-1739-org, rec-1739-dup-0
rec-2484-org, rec-2484-dup-0
rec-3781-org, rec-3781-dup-0
rec-2806-org, rec-2806-dup-0
rec-1558-org, rec-1558-dup-0
rec-158-org, rec-158-dup-0
rec-2504-org, rec-2504-dup-0
rec-1412-org, rec-1412-dup-0
rec-2394-org, rec-2394-dup-0
rec-1876-org, rec-1876-dup-0
rec-853-org, rec-853-dup-0
rec-1364-org, rec-1364-dup-0
rec-2096-org, rec-2096-dup-0
rec-2367-org, rec-2367-dup-0
rec-357-org, rec-357-dup-0
rec-3245-org, rec-3245-dup-0
rec-3544-org, rec-3544-dup-0
rec-1326-org, rec-1326-dup-0
rec-3954-org, rec-3954-dup-0
rec-970-org, rec-970-dup-0
rec-893-org, rec-893-dup-0
rec-2501-org, rec-2501-dup-0
rec-2406-org, rec-2406-dup-0
